seed,eval_version,model,label,task_key,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,model_value_t0,model_value_t1,true_ate,true_ate_normalized,ate_hat,ate_error,ate_abs_err,ate_squared_err,error,abs_error,squared_error,fixed_policy_value_abs_err,policy_selected_arm,oracle_best_arm,policy_value_hat,policy_value_true,oracle_policy_value,policy_value_abs_err,policy_regret,pehe,pehe_supported
42,2,crn,CRN,754873||Control vs. Treatment||completion,754873,Control vs. Treatment,completion,Control,472,228,244,0.6798245614035088,0.6352459016393442,0.6222161761784958,0.6339045379121425,-0.04457865976416453,-0.04457865976416453,0.011688361733646735,0.056267021497811265,0.056267021497811265,0.003165977708235155,0.056267021497811265,0.056267021497811265,0.003165977708235155,0.02947487447610736,1,0,0.6339045379121425,0.6352459016393442,0.6798245614035088,0.0013413637272017276,0.04457865976416453,,0
42,2,crn,CRN,796926||Control vs. Treatment||completion,796926,Control vs. Treatment,completion,Control,955,492,463,0.7947154471544715,0.8056155507559395,0.7959696345304319,0.8049198809718586,0.01090010360146798,0.01090010360146798,0.008950246441426724,-0.0019498571600412573,0.0019498571600412573,3.8019429445641573e-06,-0.0019498571600412573,0.0019498571600412573,3.8019429445641573e-06,0.0009749285800206287,1,1,0.8049198809718586,0.8056155507559395,0.8056155507559395,0.0006956697840808657,0.0,,0
42,2,crn,CRN,800112||Control vs. Treatment||completion,800112,Control vs. Treatment,completion,Control,557,269,288,0.6468401486988847,0.5902777777777778,0.5728642516761109,0.5687295855482776,-0.05656237092110694,-0.05656237092110694,-0.0041346661278333086,0.05242770479327363,0.05242770479327363,0.002748664229890647,0.05242770479327363,0.05242770479327363,0.002748664229890647,0.047762044626137035,0,0,0.5728642516761109,0.6468401486988847,0.6468401486988847,0.07397589702277385,0.0,,0
42,2,crn,CRN,803956||Control vs. Treatment||completion,803956,Control vs. Treatment,completion,Control,954,478,476,0.7552301255230126,0.7289915966386554,0.7715647955360653,0.7893107352266772,-0.026238528884357182,-0.026238528884357182,0.01774593969061189,0.04398446857496907,0.04398446857496907,0.0019346334758224418,0.04398446857496907,0.04398446857496907,0.0019346334758224418,0.0383269043005372,1,0,0.7893107352266772,0.7289915966386554,0.7552301255230126,0.06031913858802174,0.026238528884357182,,0
42,2,timegan,TimeGAN,694143||Control vs. Treatment||completion,694143,Control vs. Treatment,completion,Control,855,404,451,0.7326732673267327,0.6917960088691796,0.7561089409722223,0.7571684541758041,-0.04087725845755308,-0.04087725845755308,0.0010595132035818855,0.041936771661134964,0.041936771661134964,0.0017586928173581725,0.041936771661134964,0.041936771661134964,0.0017586928173581725,0.04440405947605708,1,0,0.7571684541758041,0.6917960088691796,0.7326732673267327,0.06537244530662456,0.04087725845755308,,0
42,2,timegan,TimeGAN,694165||Control vs. Treatment||completion,694165,Control vs. Treatment,completion,Control,505,259,246,0.8185328185328186,0.8495934959349594,0.7806174098855198,0.7850983572478342,0.0310606774021408,0.0310606774021408,0.004480947362314414,-0.026579730039826388,0.026579730039826388,0.0007064820489900492,-0.026579730039826388,0.026579730039826388,0.0007064820489900492,0.051205273667212,1,1,0.7850983572478342,0.8495934959349594,0.8495934959349594,0.0644951386871252,0.0,,0
42,2,timegan,TimeGAN,694197||Control vs. Treatment||completion,694197,Control vs. Treatment,completion,Control,1831,931,900,0.6079484425349087,0.6366666666666667,0.6418347694651146,0.64059633247713,0.028718224131758063,0.028718224131758063,-0.001238436987984648,-0.02995666111974271,0.02995666111974271,0.0008974015454431047,-0.02995666111974271,0.02995666111974271,0.0008974015454431047,0.018907996370334634,0,1,0.6418347694651146,0.6079484425349087,0.6366666666666667,0.03388632693020599,0.028718224131758063,,0
42,2,timegan,TimeGAN,694202||Control vs. Treatment||completion,694202,Control vs. Treatment,completion,Control,166,74,92,0.9054054054054054,0.8369565217391305,0.788003760648061,0.7898967696959713,-0.06844888366627488,-0.06844888366627488,0.0018930090479103434,0.07034189271418523,0.07034189271418523,0.004947981870613945,0.07034189271418523,0.07034189271418523,0.004947981870613945,0.08223069840025177,1,0,0.7898967696959713,0.8369565217391305,0.9054054054054054,0.04705975204315915,0.06844888366627488,,0
42,2,timegan,TimeGAN,694203||Control vs. Treatment||completion,694203,Control vs. Treatment,completion,Control,508,242,266,0.8099173553719008,0.7631578947368421,0.6988297109528789,0.6987210371362882,-0.04675946063505865,-0.04675946063505865,-0.00010867381659074304,0.046650786818467904,0.046650786818467904,0.002176295910782139,0.046650786818467904,0.046650786818467904,0.002176295910782139,0.0877622510097879,0,0,0.6988297109528789,0.8099173553719008,0.8099173553719008,0.11108764441902186,0.0,,0
42,2,timegan,TimeGAN,694244||Control vs. Treatment||completion,694244,Control vs. Treatment,completion,Control,26,15,11,0.7333333333333333,0.5454545454545454,0.7430973052978516,0.740084354694073,-0.18787878787878787,-0.18787878787878787,-0.003012950603778597,0.18486583727500927,0.18486583727500927,0.03417537779139021,0.18486583727500927,0.18486583727500927,0.03417537779139021,0.10219689060202292,0,0,0.7430973052978516,0.7333333333333333,0.7333333333333333,0.009763971964518281,0.0,,0
42,2,timegan,TimeGAN,714180||Control vs. Treatment||completion,714180,Control vs. Treatment,completion,Control,157,76,81,0.618421052631579,0.7037037037037037,0.7071022956993929,0.709819526429389,0.08528265107212474,0.08528265107212474,0.0027172307299960785,-0.08256542034212866,0.08256542034212866,0.006817048636272393,-0.08256542034212866,0.08256542034212866,0.006817048636272393,0.04739853289674956,1,1,0.709819526429389,0.7037037037037037,0.7037037037037037,0.006115822725685227,0.0,,0
42,2,timegan,TimeGAN,754873||Control vs. Treatment||completion,754873,Control vs. Treatment,completion,Control,472,228,244,0.6798245614035088,0.6352459016393442,0.6763188636909097,0.6795678219552768,-0.04457865976416453,-0.04457865976416453,0.0032489582643671078,0.04782761802853164,0.04782761802853164,0.0022874810462831245,0.04782761802853164,0.04782761802853164,0.0022874810462831245,0.02391380901426582,1,0,0.6795678219552768,0.6352459016393442,0.6798245614035088,0.04432192031593252,0.04457865976416453,,0
42,2,timegan,TimeGAN,796926||Control vs. Treatment||completion,796926,Control vs. Treatment,completion,Control,955,492,463,0.7947154471544715,0.8056155507559395,0.766307571171466,0.7666074423265706,0.01090010360146798,0.01090010360146798,0.00029987115510465845,-0.010600232446363322,0.010600232446363322,0.00011236492791693374,-0.010600232446363322,0.010600232446363322,0.00011236492791693374,0.0337079922061872,1,1,0.7666074423265706,0.8056155507559395,0.8056155507559395,0.03900810842936886,0.0,,0
42,2,timegan,TimeGAN,800112||Control vs. Treatment||completion,800112,Control vs. Treatment,completion,Control,557,269,288,0.6468401486988847,0.5902777777777778,0.6332456633261333,0.6345444958342684,-0.05656237092110694,-0.05656237092110694,0.001298832508135117,0.05786120342924206,0.05786120342924206,0.003347918862280133,0.05786120342924206,0.05786120342924206,0.003347918862280133,0.02893060171462103,1,0,0.6345444958342684,0.5902777777777778,0.6468401486988847,0.04426671805649063,0.05656237092110694,,0
42,2,timegan,TimeGAN,803956||Control vs. Treatment||completion,803956,Control vs. Treatment,completion,Control,954,478,476,0.7552301255230126,0.7289915966386554,0.7995641296514675,0.8009644834250524,-0.026238528884357182,-0.026238528884357182,0.0014003537735849392,0.02763888265794212,0.02763888265794212,0.0007639078345794937,0.02763888265794212,0.02763888265794212,0.0007639078345794937,0.058153445457425956,1,0,0.8009644834250524,0.7289915966386554,0.7552301255230126,0.07197288678639702,0.026238528884357182,,0
43,2,scm_causal,SCM-Causal,694143||Control vs. Treatment||completion,694143,Control vs. Treatment,completion,Control,855,404,451,0.7326732673267327,0.6917960088691796,0.7391484489217837,0.6737253289473685,-0.04087725845755308,-0.04087725845755308,-0.06542311997441519,-0.02454586151686211,0.02454586151686211,0.0006024993176049723,-0.02454586151686211,0.02454586151686211,0.0006024993176049723,0.012272930758431055,0,0,0.7391484489217837,0.7326732673267327,0.7326732673267327,0.006475181595051005,0.0,,0
43,2,scm_causal,SCM-Causal,694165||Control vs. Treatment||completion,694165,Control vs. Treatment,completion,Control,505,259,246,0.8185328185328186,0.8495934959349594,0.8581384639928836,0.813236410310953,0.0310606774021408,0.0310606774021408,-0.044902053681930676,-0.07596273108407148,0.07596273108407148,0.005770336513750959,-0.07596273108407148,0.07596273108407148,0.005770336513750959,0.03798136554203574,0,1,0.8581384639928836,0.8185328185328186,0.8495934959349594,0.039605645460065064,0.0310606774021408,,0
43,2,scm_causal,SCM-Causal,694197||Control vs. Treatment||completion,694197,Control vs. Treatment,completion,Control,1831,931,900,0.6079484425349087,0.6366666666666667,0.6579136496876706,0.6519190706495768,0.028718224131758063,0.028718224131758063,-0.005994579038093861,-0.034712803169851925,0.034712803169851925,0.001204978703908882,-0.034712803169851925,0.034712803169851925,0.001204978703908882,0.03260880556783602,0,1,0.6579136496876706,0.6079484425349087,0.6366666666666667,0.04996520715276198,0.028718224131758063,,0
43,2,scm_causal,SCM-Causal,694202||Control vs. Treatment||completion,694202,Control vs. Treatment,completion,Control,166,74,92,0.9054054054054054,0.8369565217391305,0.8903974050498871,0.8617573014224869,-0.06844888366627488,-0.06844888366627488,-0.028640103627400215,0.03980878003887467,0.03980878003887467,0.0015847389681835063,0.03980878003887467,0.03980878003887467,0.0015847389681835063,0.019904390019437335,0,0,0.8903974050498871,0.9054054054054054,0.9054054054054054,0.015008000355518303,0.0,,0
