problem_id,problem_part,scaffold_id,problem_type_id
PRAD3TY,1,219706.0,
PRAD3TY,1,219707.0,
PRAD3TN,1,0.0,13.0
PRAD3UN,1,0.0,13.0
PRABW3M,1,0.0,13.0
PRABW5K,1,0.0,5.0
PRABXJT,1,0.0,13.0
PRABXHS,1,0.0,13.0
PRABXSM,1,0.0,13.0
PRABXQS,1,0.0,13.0
PRAH6VC,1,0.0,13.0
PRAH6WB,1,0.0,5.0
PRAH6Z9,1,0.0,5.0
PRAH6X2,1,0.0,5.0
PRAH6Z7,1,0.0,5.0
PRAH6X9,1,0.0,13.0
PRAD3TX,1,0.0,13.0
PRABW7S,1,0.0,13.0
PRABW32,1,0.0,13.0
PRABXH7,1,0.0,13.0
PRABXQG,1,0.0,13.0
PRABXSQ,1,0.0,13.0
PRAH6VR,1,0.0,13.0
PRAH6YB,1,0.0,13.0
PRAH6V3,1,0.0,13.0
PRAH6WH,1,0.0,13.0
PRAH62Y,1,0.0,5.0
PRAH6YC,1,0.0,5.0
PRAD3SY,1,0.0,13.0
PRAD3UY,1,0.0,5.0
PRABW6F,1,0.0,13.0
PRABW7R,1,0.0,5.0
PRABXJD,1,0.0,5.0
PRABXH5,1,0.0,13.0
PRABXSZ,1,0.0,13.0
PRABXQB,1,0.0,13.0
PRAH63K,1,0.0,13.0
PRAH6YE,1,0.0,5.0
PRAD3UU,1,0.0,13.0
PRAD3UT,1,0.0,13.0
PRABW5Q,1,0.0,5.0
PRABW34,1,0.0,13.0
PRABXM5,1,0.0,5.0
PRABXHY,1,0.0,13.0
PRABXP7,1,0.0,13.0
PRABXP9,1,0.0,13.0
PRAH6XX,1,0.0,5.0
PRAH6YJ,1,0.0,5.0
PRAH63S,1,0.0,5.0
PRAH6ZX,1,0.0,5.0
PRAH62W,1,0.0,13.0
PRAH6ZR,1,0.0,13.0
PRAH63A,1,0.0,5.0
PRAD3VV,1,0.0,13.0
PRABW7M,1,0.0,5.0
PRABW36,1,0.0,13.0
PRABXGX,1,0.0,13.0
PRABXMF,1,0.0,13.0
PRABXRC,1,0.0,13.0
PRAH6ZB,1,0.0,13.0
PRAH628,1,0.0,5.0
PRAH6Z2,1,0.0,5.0
PRAH6Y6,1,0.0,13.0
PRAH62M,1,0.0,5.0
PRAH62H,1,0.0,5.0
PRAD3TG,1,0.0,13.0
PRAD3TT,1,0.0,13.0
PRABW6H,1,0.0,5.0
PRABW4E,1,0.0,13.0
PRABXHQ,1,0.0,13.0
PRABXM7,1,0.0,13.0
PRABXR3,1,0.0,13.0
PRABXQ3,1,0.0,13.0
PRABXQV,1,0.0,13.0
PRABXR2,1,0.0,13.0
PRAH6VX,1,0.0,5.0
PRAH6YK,1,0.0,5.0
PRAH6VE,1,0.0,13.0
PRAH63M,1,0.0,5.0
PRAH6Z3,1,0.0,5.0
PRAH6ZA,1,0.0,5.0
PRATUTW,1,0.0,13.0
PRAD3T8,1,0.0,13.0
PRABW3A,1,0.0,5.0
PRABXH2,1,0.0,13.0
PRABXSW,1,0.0,13.0
PRABXP3,1,0.0,13.0
PRAH6Y4,1,0.0,5.0
PRAH62Z,1,0.0,13.0
PRAH6VB,1,0.0,5.0
PRAH6VD,1,0.0,5.0
PRAH6VU,1,0.0,13.0
PRAH6WF,1,0.0,13.0
PRAH62R,1,0.0,13.0
PRAH6X6,1,0.0,13.0
PRAH629,1,0.0,13.0
PRABW7Q,1,0.0,5.0
PRABXHM,1,0.0,13.0
PRAH6ZN,1,0.0,5.0
PRAH6YV,1,0.0,5.0
PRAH6VW,1,0.0,5.0
PRAH63E,1,0.0,5.0
PRAH6YZ,1,0.0,13.0
PRAH63D,1,0.0,5.0
PRAH6ZQ,1,0.0,13.0
PRAD3SS,1,0.0,5.0
PRAD3U6,1,0.0,5.0
PRABW3K,1,0.0,13.0
PRABXH3,1,0.0,5.0
PRABXHX,1,0.0,13.0
PRABXRY,1,0.0,13.0
PRAH6VT,1,0.0,5.0
PRAH6VM,1,0.0,13.0
PRABW3R,1,0.0,13.0
PRAD3TE,1,0.0,13.0
PRAD3VF,1,0.0,13.0
PRABW3T,1,0.0,13.0
PRABXGW,1,0.0,13.0
PRABXP8,1,0.0,13.0
PRABXRF,1,0.0,13.0
PRAH6VY,1,0.0,5.0
PRAH62K,1,0.0,13.0
PRAD3SR,1,0.0,13.0
PRAD3TD,1,0.0,13.0
PRABW78,1,0.0,5.0
PRABXM4,1,0.0,5.0
PRABXJA,1,0.0,13.0
PRABXQA,1,0.0,13.0
PRABXQ2,1,0.0,13.0
PRAD3UM,1,0.0,13.0
PRABW6R,1,0.0,5.0
PRABXMN,1,0.0,13.0
PRABXJJ,1,0.0,5.0
PRABXSC,1,0.0,13.0
PRABXSU,1,0.0,13.0
PRAH6WD,1,0.0,5.0
PRAH6YS,1,0.0,5.0
PRAH6WJ,1,0.0,13.0
PRAH6ZM,1,0.0,13.0
PRAD3T8,1,219737.0,
PRAD3T8,1,219738.0,
PRAD3T8,1,219739.0,
PRAD3TR,1,0.0,13.0
PRABW74,1,0.0,5.0
PRABW4U,1,0.0,13.0
PRABXKU,1,0.0,13.0
PRABXNE,1,0.0,13.0
PRABXPZ,1,0.0,13.0
PRABXRZ,1,0.0,13.0
PRAH6YX,1,0.0,13.0
PRAH6Z4,1,0.0,13.0
PRAH627,1,0.0,5.0
PRAH6ZC,1,0.0,13.0
PRAD3UR,1,0.0,13.0
PRAD3VD,1,0.0,13.0
