experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA2KMP,671433,2021-05-05 09:39:07.747000-04:00,,2021-05-08 14:41:08.146000-04:00,,1,,,,,,Treatment,84.711,74.534,1.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,16250482
PSA2KMP,671437,2021-06-02 09:18:26.698000-04:00,,2021-06-02 09:58:29.334000-04:00,,2,,,,,,Control,1152.442,166.032166666667,6.0,4.0,1.0,,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,1.0,16681012
PSA2KMP,671441,2021-05-10 07:53:00.563000-04:00,2021-05-10 23:59:00-04:00,2021-06-08 09:29:28.507000-04:00,,2,,,,,,Control,770.855,70.1735,7.0,2.0,2.0,0.0,6.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,16726738
PSA2KMP,671445,2021-05-05 09:39:07.747000-04:00,,2021-05-05 10:13:02.233000-04:00,2021-05-05 13:25:11.231000-04:00,3,,,,,,Treatment,7342.448,592.772666666667,12.0,7.0,2.0,1.0,12.0,29.0,11.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,106.543,21.2745,1.0,16154031
PSA2KMP,671447,2021-06-02 09:18:26.698000-04:00,,2021-06-04 14:22:57.051000-04:00,,2,,,,,,Control,618.802,140.314,4.0,2.0,1.0,1.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,16712025
PSA2KMP,671449,2021-05-05 09:39:07.747000-04:00,,2021-05-05 10:05:15.088000-04:00,2021-05-05 10:13:30.639000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,248.196,90.4445,1.0,16153597
PSA2KMP,671453,2021-05-05 09:39:07.747000-04:00,,2021-06-04 09:50:26.241000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,16706481
PSA2KMP,671456,2021-05-05 09:39:07.747000-04:00,,2021-05-05 09:45:59.231000-04:00,2021-05-05 10:09:23.665000-04:00,2,,,,,,Treatment,161.889,53.9583333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,668.267,223.75,1.0,16152443
PSA2KMP,671459,2021-05-05 09:39:07.747000-04:00,,2021-05-05 09:58:55.461000-04:00,,1,,,,,,Treatment,631.058,81.904,3.0,0.0,0.0,0.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,16153226
PSA2KMP,671461,2021-05-05 09:39:07.747000-04:00,,2021-05-05 09:44:30.440000-04:00,2021-05-05 10:00:33.868000-04:00,2,,,,,,Treatment,97.097,32.3356666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,208.82,85.0285,2.0,16152341
