model,ref_estimator,dataset,t0,horizon,subgroup,action,ref_mu_0,ref_mu_1,ref_mu_2,ref_mu_3,ref_mu_4,ref_mu_5,ref_ci_low_0,ref_ci_low_1,ref_ci_low_2,ref_ci_low_3,ref_ci_low_4,ref_ci_low_5,ref_ci_high_0,ref_ci_high_1,ref_ci_high_2,ref_ci_high_3,ref_ci_high_4,ref_ci_high_5,gen_mu_0,gen_mu_1,gen_mu_2,gen_mu_3,gen_mu_4,gen_mu_5,gen_std_0,gen_std_1,gen_std_2,gen_std_3,gen_std_4,gen_std_5,n_effective
scm,gformula,oulad,5,5,high,0,0.5662128925323486,0.5663304328918457,0.5660980343818665,0.5657953023910522,0.5655895471572876,0.5653097033500671,0.565956175327301,0.5660833716392517,0.5658454895019531,0.5654823780059814,0.5653433203697205,0.5650742053985596,0.5665031671524048,0.5665820240974426,0.56632399559021,0.566061794757843,0.5658477544784546,0.565566897392273,0.9856859494412726,0.9858026635021935,0.9859398501524964,0.9859046868334108,0.9855905125370843,0.9855075626250578,4.7469061186971684e-05,5.555416718669501e-06,7.5574760915166205e-06,5.989577376425202e-06,7.954508398420478e-06,0.00010160136138222448,1918
scm,gformula,oulad,5,5,high,1,0.565610408782959,0.5657353401184082,0.5657669305801392,0.5655803680419922,0.5653181076049805,0.5651829838752747,0.5653181672096252,0.5654861927032471,0.565494954586029,0.5653319954872131,0.5650596618652344,0.5649330019950867,0.5658901929855347,0.5659744739532471,0.5660682320594788,0.5658499002456665,0.5655575394630432,0.5654622912406921,0.9856169811983232,0.985952422683758,0.9859723252165746,0.9859308338001466,0.9855893515501009,0.9855402356074524,3.117227140892034e-05,3.3253644173027465e-06,1.1896850130654286e-05,7.5276401110876654e-06,6.526009499573392e-06,1.9444666938546865e-05,1918
scm,gformula,oulad,10,5,all,0,0.5638561844825745,0.563723623752594,0.5632681250572205,0.5629100799560547,0.5627151727676392,0.5626683235168457,0.5636723637580872,0.5635456442832947,0.5631014108657837,0.5627625584602356,0.5625813603401184,0.5625292062759399,0.5640662908554077,0.5639194250106812,0.5634210705757141,0.5630712509155273,0.5628889203071594,0.562812328338623,0.9857367967791983,0.984430694184631,0.9829556645143148,0.9847519382834434,,,1.1280226213121201e-05,0.0001271544263422021,0.00041537570130821403,0.0002852968272394323,,,4233
scm,gformula,oulad,10,5,all,1,0.5634106993675232,0.5633652210235596,0.5629767775535583,0.5628941655158997,0.5626873970031738,0.5625743269920349,0.5632251501083374,0.5631760358810425,0.5628212690353394,0.5627729892730713,0.5625471472740173,0.5624274611473083,0.5636088848114014,0.563545823097229,0.5631408095359802,0.5630350708961487,0.5628291964530945,0.5627179145812988,0.9856757243583493,0.9859074381637342,0.9836228384534913,0.9846724554151297,,,1.6768732524367068e-05,2.885071809439285e-05,0.00025018872540240463,0.000271406468027997,,,4233
scm,gformula,oulad,10,5,low,0,0.562859833240509,0.562744677066803,0.5623394250869751,0.5621011257171631,0.5619645714759827,0.5619581937789917,0.5626214742660522,0.5624949336051941,0.5621398687362671,0.5618848204612732,0.5617907643318176,0.5617896318435669,0.5630971193313599,0.5629841685295105,0.5625317096710205,0.5622816681861877,0.5621623396873474,0.5621376037597656,0.985893506851621,0.9844239474673356,0.9836767727775234,0.9851900302938053,,,1.1207340068702964e-05,0.00023522947452276385,0.0005905847612629483,0.00019416655624377815,,,2315
scm,gformula,oulad,10,5,low,1,0.5623170137405396,0.5625033974647522,0.5620629191398621,0.5619891881942749,0.5619082450866699,0.561758279800415,0.5620458722114563,0.5622349381446838,0.5618422031402588,0.5617933869361877,0.5617051720619202,0.5615741610527039,0.5626218914985657,0.5627531409263611,0.5622786283493042,0.5621529817581177,0.5621020793914795,0.56194669008255,0.985834561738543,0.9860791699894305,0.9846908941864967,0.9849005904935655,,,1.2600403666989285e-05,2.043721728683825e-05,0.0002735568729641161,0.00023578176544686676,,,2315
scm,gformula,oulad,10,5,high,0,0.5651327967643738,0.564795196056366,0.564276933670044,0.5639761686325073,0.5639181137084961,0.5636390447616577,0.5648329854011536,0.5645273923873901,0.5640454888343811,0.563778817653656,0.5637162327766418,0.563419759273529,0.5654699206352234,0.5650883316993713,0.5645233392715454,0.5641856789588928,0.5641204714775085,0.5638220906257629,0.9855734229720886,0.9843847209700136,0.9819760839144388,0.984488311174669,,,4.326781838798492e-05,0.0002205754825146547,0.00038663428104976583,0.000322850025854904,,,1918
scm,gformula,oulad,10,5,high,1,0.5648612976074219,0.5645629167556763,0.5641077756881714,0.5640144944190979,0.5637882947921753,0.5636569857597351,0.5645266771316528,0.5643104910850525,0.5638623833656311,0.5638223886489868,0.5635932683944702,0.5634562969207764,0.5651686787605286,0.5648438334465027,0.5643888711929321,0.5642339587211609,0.5640156269073486,0.563847541809082,0.9855091467402339,0.9857321376797408,0.982331488662296,0.9844728677680619,,,2.774869732433015e-05,1.1151909962665496e-05,0.0001678889988397027,0.0003696044992633407,,,1918
rcgan,gformula,oulad,0,5,all,0,0.5368789434432983,0.5486356616020203,0.555726945400238,0.5598534941673279,0.5621019005775452,0.5632979869842529,0.5367775559425354,0.5485166907310486,0.5555808544158936,0.5596719980239868,0.5619319081306458,0.5631259679794312,0.5369665026664734,0.5487557649612427,0.5558752417564392,0.5600163340568542,0.5622453689575195,0.5634717345237732,0.9881879593368232,0.9881859302471468,0.9316193545595322,0.9900983700928526,0.9883622656570241,0.9900957753940187,2.6461840400514044e-05,1.9314222446683884e-05,1.8682571770167787e-05,7.6090974704965824e-06,5.98293443663443e-05,1.1530258043665227e-05,4233
rcgan,gformula,oulad,0,5,all,1,0.5366880297660828,0.5483238697052002,0.5554925799369812,0.5596910119056702,0.561907172203064,0.563063383102417,0.5365824699401855,0.5481812953948975,0.5553303956985474,0.5595250129699707,0.5617291927337646,0.5628799200057983,0.5367929339408875,0.5484538674354553,0.5556469559669495,0.5598316788673401,0.5620856285095215,0.5632473826408386,0.9908755544670755,0.9875891313805187,0.9316791505362131,0.9899795618057861,0.9870109634610209,0.9900021765243123,1.466509864212545e-05,2.5575675728863484e-05,4.528487782184572e-05,1.3356106619639025e-05,0.00016422962837235825,1.0657094461164493e-05,4233
